Georgia Department Of Education
Free and Reduced Price Meal Eligibility
Free and Reduced Lunch (FRL) - Fiscal Year 2019 Data Report
 
System ID, System Name,School ID - School Name,KK-12 % FRL
601,Appling County, 1050 - Altamaha Elementary School,90.48
601,Appling County, 0103 - Appling County High School,90.41
601,Appling County, 0277 - Appling County Primary School,90.31
601,Appling County, 5050 - Fourth District Elementary School,90.13
601,Appling County, 0177 - Appling County Elementary School,90.38
601,Appling County, 0195 - Appling County Middle School,90.44
602,Atkinson County, 0103 - Atkinson County High School,80.13
602,Atkinson County, 0111 - Atkinson County Middle School,85.56
602,Atkinson County, 0190 - Pearson Elementary School,85.94
602,Atkinson County, 0187 - Willacoochee Elementary School,90.12
761,Atlanta Public Schools, 0415 - Atlanta Classical Academy,#
761,Atlanta Public Schools, 3057 - Continental Colony Elementary School,*
761,Atlanta Public Schools, 1063 - Hutchinson Elementary School,*
761,Atlanta Public Schools, 4063 - M. A. Jones Elementary School,*
761,Atlanta Public Schools, 5558 - Dunbar Elementary School,*
761,Atlanta Public Schools, 0315 - Booker T. Washington High School,*
761,Atlanta Public Schools, 5066 - Barack and Michelle Obama Academy,*
761,Atlanta Public Schools, 0604 - Bazoline E. Usher/Collier Heights Elmentary School,*
761,Atlanta Public Schools, 0180 - Bunche Middle School,*
761,Atlanta Public Schools, 0282 - Young Middle School,*
761,Atlanta Public Schools, 0215 - Kipp WAYS Primary School,*
761,Atlanta Public Schools, 0214 - KIPP Vision Primary,*
761,Atlanta Public Schools, 1413 - Carver High School,*
761,Atlanta Public Schools, 1414 - Michael R. Hollis Innovation Academy,*
761,Atlanta Public Schools, 1560 - Garden Hills Elementary School,62.1
761,Atlanta Public Schools, 4560 - Grady High School,28.65
761,Atlanta Public Schools, 2664 - Crim High School,*
761,Atlanta Public Schools, 1064 - Kimberly Elementary School,*
761,Atlanta Public Schools, 0201 - Charles R. Drew Charter School,37.64
761,Atlanta Public Schools, 4066 - Slater Elementary School,*
761,Atlanta Public Schools, 3566 - Scott Elementary School,*
761,Atlanta Public Schools, 4058 - Douglass High School,*
761,Atlanta Public Schools, 0115 - Kipp Strive Academy,74.23
761,Atlanta Public Schools, 1664 - Morningside Elementary School,6.93
761,Atlanta Public Schools, 2563 - Jackson Elementary School,6.54
761,Atlanta Public Schools, 0403 - APS-Forrest Hills Academy,*
761,Atlanta Public Schools, 3559 - Fickett Elementary School,*
761,Atlanta Public Schools, 0199 - Centennial Academy,*
761,Atlanta Public Schools, 0296 - Perkerson Elementary School,*
761,Atlanta Public Schools, 0605 - KIPP West Atlanta Young Scholars Academy,*
761,Atlanta Public Schools, 5567 - Toomer Elementary School,*
761,Atlanta Public Schools, 1208 - Wesley International Academy Charter Facility,46.56
761,Atlanta Public Schools, 1563 - David T Howard Middle School,15.68
761,Atlanta Public Schools, 0188 - Sylvan Hills Middle School,*
761,Atlanta Public Schools, 0122 - KIPP VISION,*
761,Atlanta Public Schools, 1416 - Tuskegee Airman Global Academy,*
761,Atlanta Public Schools, 0101 - Parkside Elementary School,*
761,Atlanta Public Schools, 1053 - Boyd Elementary School,*
761,Atlanta Public Schools, 0314 - Westside Atlanta Charter School,33.12
761,Atlanta Public Schools, 1409 - Therrell High School,*
