SCHOOL_YEAR,DISTRICT_CODE,DISTRICT_NAME,SCHOOL_CODE,SCHOOL_NAME,Revenues/Expenditures,Description,REV_EXP_VALUE,Dollars per FTE
2014-15,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,Debt Services,27439798.82,15.92
2014-15,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,General Administration,325269077.5,188.71
2014-15,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,Instruction,9177331987,5324.32
2014-15,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,Instructional Support,525120197.9,304.65
2014-15,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,Maintenance and Operations,1217308900,706.23
2014-15,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,Media,234840401,136.24
2014-15,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,Pupil Services,444964849.4,258.15
2014-15,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,Renovation and Capital Projects,3807907.82,2.21
2014-15,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,School Administration,953839008.9,553.38
2014-15,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,School food Services,8940174.14,5.19
2014-15,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,Transportation,758065967.4,439.8
2014-15,ALL,All Column Values,ALL,All Column Values,K-12 Revenues,Federal,52221858.69,30.3
2014-15,ALL,All Column Values,ALL,All Column Values,K-12 Revenues,Local,6076279394,3525.21
2014-15,ALL,All Column Values,ALL,All Column Values,K-12 Revenues,Other,36419869.3,21.13
2014-15,ALL,All Column Values,ALL,All Column Values,K-12 Revenues,State Lottery,0,0
2014-15,ALL,All Column Values,ALL,All Column Values,K-12 Revenues,State Other,154110572.2,89.41
2014-15,ALL,All Column Values,ALL,All Column Values,K-12 Revenues,State QBE,7688322603,4460.46
2014-15,601,Appling County,ALL,All Column Values,K-12 Expenditures,Debt Services,0,0
2014-15,601,Appling County,ALL,All Column Values,K-12 Expenditures,General Administration,730240.8,207.93
2014-15,601,Appling County,ALL,All Column Values,K-12 Expenditures,Instruction,20462475.21,5826.45
2014-15,601,Appling County,ALL,All Column Values,K-12 Expenditures,Instructional Support,1220114.73,347.41
2014-15,601,Appling County,ALL,All Column Values,K-12 Expenditures,Maintenance and Operations,2445791.17,696.41
2014-15,601,Appling County,ALL,All Column Values,K-12 Expenditures,Media,506732.39,144.29
2014-15,601,Appling County,ALL,All Column Values,K-12 Expenditures,Pupil Services,885820.37,252.23
2014-15,601,Appling County,ALL,All Column Values,K-12 Expenditures,Renovation and Capital Projects,0,0
2014-15,601,Appling County,ALL,All Column Values,K-12 Expenditures,School Administration,1579985.73,449.88
2014-15,601,Appling County,ALL,All Column Values,K-12 Expenditures,School food Services,32596.08,9.28
2014-15,601,Appling County,ALL,All Column Values,K-12 Expenditures,Transportation,1780881.05,507.08
2014-15,601,Appling County,ALL,All Column Values,K-12 Revenues,Federal,0,0
2014-15,601,Appling County,ALL,All Column Values,K-12 Revenues,Local,12243206.11,3486.11
2014-15,601,Appling County,ALL,All Column Values,K-12 Revenues,Other,0,0
2014-15,601,Appling County,ALL,All Column Values,K-12 Revenues,State Lottery,0,0
2014-15,601,Appling County,ALL,All Column Values,K-12 Revenues,State Other,596943.54,169.97
2014-15,601,Appling County,ALL,All Column Values,K-12 Revenues,State QBE,16217744,4617.81
2014-15,601,Appling County,1050,Altamaha Elementary School,K-12 Expenditures,Debt Services,0,0
2014-15,601,Appling County,1050,Altamaha Elementary School,K-12 Expenditures,General Administration,0,0
2014-15,601,Appling County,1050,Altamaha Elementary School,K-12 Expenditures,Instruction,2090157.3,6076.04
2014-15,601,Appling County,1050,Altamaha Elementary School,K-12 Expenditures,Instructional Support,5480.72,15.93
2014-15,601,Appling County,1050,Altamaha Elementary School,K-12 Expenditures,Maintenance and Operations,155561.09,452.21
2014-15,601,Appling County,1050,Altamaha Elementary School,K-12 Expenditures,Media,100984.16,293.56
2014-15,601,Appling County,1050,Altamaha Elementary School,K-12 Expenditures,Pupil Services,69109.64,200.9
2014-15,601,Appling County,1050,Altamaha Elementary School,K-12 Expenditures,Renovation and Capital Projects,0,0
2014-15,601,Appling County,1050,Altamaha Elementary School,K-12 Expenditures,School Administration,201710.95,586.37
2014-15,601,Appling County,1050,Altamaha Elementary School,K-12 Expenditures,School food Services,0,0
2014-15,601,Appling County,1050,Altamaha Elementary School,K-12 Expenditures,Transportation,0,0
2014-15,601,Appling County,177,Appling County Elementary School,K-12 Expenditures,Debt Services,0,0
2014-15,601,Appling County,177,Appling County Elementary School,K-12 Expenditures,General Administration,0,0
2014-15,601,Appling County,177,Appling County Elementary School,K-12 Expenditures,Instruction,2952196.27,4936.78
2014-15,601,Appling County,177,Appling County Elementary School,K-12 Expenditures,Instructional Support,97110.03,162.39
2014-15,601,Appling County,177,Appling County Elementary School,K-12 Expenditures,Maintenance and Operations,229873.99,384.4
2014-15,601,Appling County,177,Appling County Elementary School,K-12 Expenditures,Media,86310.41,144.33
2014-15,601,Appling County,177,Appling County Elementary School,K-12 Expenditures,Pupil Services,76887.52,128.57
2014-15,601,Appling County,177,Appling County Elementary School,K-12 Expenditures,Renovation and Capital Projects,0,0
2014-15,601,Appling County,177,Appling County Elementary School,K-12 Expenditures,School Administration,282511.81,472.43
2014-15,601,Appling County,177,Appling County Elementary School,K-12 Expenditures,School food Services,0,0
2014-15,601,Appling County,177,Appling County Elementary School,K-12 Expenditures,Transportation,0,0
2014-15,601,Appling County,103,Appling County High School,K-12 Expenditures,Debt Services,0,0
2014-15,601,Appling County,103,Appling County High School,K-12 Expenditures,General Administration,0,0
2014-15,601,Appling County,103,Appling County High School,K-12 Expenditures,Instruction,5589892.08,5721.49
2014-15,601,Appling County,103,Appling County High School,K-12 Expenditures,Instructional Support,212932.62,217.95
2014-15,601,Appling County,103,Appling County High School,K-12 Expenditures,Maintenance and Operations,630555.58,645.4
2014-15,601,Appling County,103,Appling County High School,K-12 Expenditures,Media,122969.65,125.86
2014-15,601,Appling County,103,Appling County High School,K-12 Expenditures,Pupil Services,321368.36,328.93
2014-15,601,Appling County,103,Appling County High School,K-12 Expenditures,Renovation and Capital Projects,0,0
2014-15,601,Appling County,103,Appling County High School,K-12 Expenditures,School Administration,361346.62,369.85
2014-15,601,Appling County,103,Appling County High School,K-12 Expenditures,School food Services,0,0
2014-15,601,Appling County,103,Appling County High School,K-12 Expenditures,Transportation,0,0
2014-15,601,Appling County,195,Appling County Middle School,K-12 Expenditures,Debt Services,0,0
2014-15,601,Appling County,195,Appling County Middle School,K-12 Expenditures,General Administration,0,0
2014-15,601,Appling County,195,Appling County Middle School,K-12 Expenditures,Instruction,4426102.76,5703.74
2014-15,601,Appling County,195,Appling County Middle School,K-12 Expenditures,Instructional Support,48954.26,63.09
2014-15,601,Appling County,195,Appling County Middle School,K-12 Expenditures,Maintenance and Operations,262555.17,338.34
2014-15,601,Appling County,195,Appling County Middle School,K-12 Expenditures,Media,97400.71,125.52
2014-15,601,Appling County,195,Appling County Middle School,K-12 Expenditures,Pupil Services,145868.16,187.97
2014-15,601,Appling County,195,Appling County Middle School,K-12 Expenditures,Renovation and Capital Projects,0,0
2014-15,601,Appling County,195,Appling County Middle School,K-12 Expenditures,School Administration,284772.92,366.98
2014-15,601,Appling County,195,Appling County Middle School,K-12 Expenditures,School food Services,0,0
2014-15,601,Appling County,195,Appling County Middle School,K-12 Expenditures,Transportation,0,0
2014-15,601,Appling County,277,Appling County Primary School,K-12 Expenditures,Debt Services,0,0
2014-15,601,Appling County,277,Appling County Primary School,K-12 Expenditures,General Administration,340.2,0.54
2014-15,601,Appling County,277,Appling County Primary School,K-12 Expenditures,Instruction,4282877.67,6841.66
